tblidx	wszName	Type
1000	同意	ACTION_DATA
1001	否定	ACTION_DATA
1002	招呼	ACTION_DATA
1003	興奮	ACTION_DATA
1004	大笑	ACTION_DATA
1005	大哭	ACTION_DATA
1006	拍手	ACTION_DATA
1007	指揮	ACTION_DATA
1008	突擊	ACTION_DATA
1009	勝利	ACTION_DATA
1010	安撫	ACTION_DATA
1011	道別	ACTION_DATA
1012	害羞	ACTION_DATA
1013	行禮	ACTION_DATA
1014	集氣	ACTION_DATA
1015	Se vanter	ACTION_DATA
11000	點頭表示同意	ACTION_DATA
11001	搖手表示否定	ACTION_DATA
11002	揮手打招呼	ACTION_DATA
11003	開心之餘表示興奮	ACTION_DATA
11004	捧腹大笑	ACTION_DATA
11005	傷心欲絕的表現	ACTION_DATA
11006	做的好	ACTION_DATA
11007	指示目標	ACTION_DATA
11008	指示同行者進行突擊	ACTION_DATA
11009	勝利的歡呼	ACTION_DATA
11010	惜惜!安撫孩子	ACTION_DATA
11011	再見!舉手揮動道別	ACTION_DATA
11012	波噗波噗	ACTION_DATA
11013	比武前雙手合掌行禮	ACTION_DATA
11014	蹲坐著集氣到臀部	ACTION_DATA
11015	Fier de porter L'objet des grades renforcés élevés.	ACTION_DATA
100001	使用史考特	ACTION_DATA
100002	開啟個人商店	ACTION_DATA
100003	投擲骰子	ACTION_DATA
100004	基本攻擊	ACTION_DATA
100005	救援	ACTION_DATA
100006	撿拾	ACTION_DATA
100007	坐下	ACTION_DATA
100008	Auto-courir	ACTION_DATA
1100001	史考特 ON/OFF .	ACTION_DATA
1100002	開啟個人商店販賣物品	ACTION_DATA
1100003	開啟擲骰子視窗	ACTION_DATA
1100004	進行基本攻擊	ACTION_DATA
1100005	幫助選擇對象	ACTION_DATA
1100006	撿拾附近道具	ACTION_DATA
1100007	坐下休息以快速恢復生命力和魔力	ACTION_DATA
1100008	Les doigts deviennent un peu confortable.	ACTION_DATA
100000	同意	CHAT_COMMMAND_DATA
100001	嗯	CHAT_COMMMAND_DATA
100002	ok	CHAT_COMMMAND_DATA
100003	啊	CHAT_COMMMAND_DATA
100004	好吧	CHAT_COMMMAND_DATA
100005	好啊	CHAT_COMMMAND_DATA
100006	dd	CHAT_COMMMAND_DATA
100007	^^b	CHAT_COMMMAND_DATA
100050	否定	CHAT_COMMMAND_DATA
100051	不要	CHAT_COMMMAND_DATA
100052	不	CHAT_COMMMAND_DATA
